Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,Cmp,Cmp,Cmp,Cmp%,Cmp%,Cmp%,Cmp,Cmp%
269,Sandeep Singh,in IND,DF,Kerala Blasters,27,1995,9,801,89,44.5,14.96,9,89,8,0,,4,2.44,17,8,9,1.01,1.82,Matches,441,175,149,45.76,65.12,73.92,59,65.12
270,Gurpreet Singh Sandhu,in IND,GK,Bengaluru,30,1992,20,1800,90,100,16.72,20,90,20,0,,0,1.75,27,23,4,0.2,,Matches,475,183,247,69.52,67.76,62.48,47,61.6
271,Sehnaj Singh,in IND,MF,NorthEast Utd,29,1993,1,52,52,2.9,8.8,1,52,0,0,,3,0,1,3,-2,-3.46,-1.76,Matches,43,113,21,55.44,69.52,65.12,54,74.8
272,Soraisam Singh,in IND,DF,East Bengal,26,1995,2,89,45,4.9,16.72,1,88,0,1,1,11,1.5,2,4,-2,-2.02,-1.29,Matches,299,50,102,44,75.68,67.76,114,58.08
273,Suresh Singh,in IND,MF,Bengaluru,21,2000,18,1439,80,79.9,12.32,17,83,9,1,32,1,1.77,23,20,3,0.19,-0.06,Matches,459,48,160,49.28,72.16,65.12,86,39.6
274,Saphaba Singh Telem,in IND,DF,Jamshedpur,19,2003,0,,,,13.2,0,,0,0,,4,,,,,,,Matches,281,158,45,58.96,69.52,76.56,102,41.36
275,Boris Singh Thangjam,in IND,"MF,FW",Jamshedpur,22,2000,20,1534,77,85.2,16.72,18,81,8,2,42,0,0.95,18,27,-9,-0.53,0.15,Matches,406,130,107,65.12,67.76,74.8,100,70.4
276,Thoi Singh,in IND,FW,Bengaluru,18,2004,0,,,,11.44,0,,0,0,,1,,,,,,,Matches,26,201,211,64.24,73.92,74.8,66,67.76
277,Thoiba Singh,in IND,"MF,DF",Odisha,19,2002,20,1657,83,92.1,17.6,19,85,13,1,36,0,1.43,26,30,-4,-0.22,-1.48,Matches,377,123,249,47.52,66.88,73.04,93,52.8
278,Jeaskon Singh,in IND,DF,East Bengal,27,1994,8,562,70,31.2,17.8,6,86,4,2,23,3,0.5,7,17,-10,-1.6,0.22,Matches,1248,479,192,54.56,85.41,68.64,103,61.6
279,Udanta Singh,in IND,"MF,FW",Bengaluru,26,1996,15,461,31,25.6,10.56,3,81,2,12,18,1,1.88,5,6,-1,-0.2,-0.53,Matches,189,65,231,47.52,70.4,62.48,98,65.12
280,Vikram Singh,in IND,MF,Mumbai City,20,2002,17,273,16,15.2,17.6,0,,0,17,16,2,2.26,5,4,1,0.33,-1.56,Matches,382,127,193,51.04,61.6,64.24,62,52.8
281,Yumkhaibam Singh,in IND,MF,Chennaiyin,20,2001,16,996,62,55.3,14.96,10,82,6,6,29,0,1.31,16,17,-1,-0.09,-0.09,Matches,131,110,143,48.4,72.16,73.92,79,58.08
282,Siverio,es ESP,FW,Hyderabad FC,24,1997,20,1033,52,57.4,13.2,12,74,2,8,18,0,2,22,8,14,1.22,0.52,Matches,28,85,128,48.4,71.28,68.64,45,66.88
283,Petar SliÅ¡koviÄ‡,hr CRO,FW,Chennaiyin,31,1991,17,1383,81,76.8,14.96,17,81,8,0,,0,1.06,24,28,-4,-0.26,-0.91,Matches,372,80,182,58.96,66.88,66.88,82,58.08
284,Sanjeev Stalin,in IND,DF,Mumbai City,21,2001,11,666,61,37,12.32,8,75,3,3,22,9,2,13,7,6,0.81,-1.33,Matches,32,49,123,45.76,62.48,79.2,95,48.4
285,Greg Stewart,sct SCO,"MF,FW",Mumbai City,32,1990,18,1341,75,74.5,9.68,17,78,8,1,14,0,2.35,45,15,30,2.01,1.43,Matches,361,25,99,58.08,68.64,64.24,124,44
286,Nihal Sudeesh,in IND,FW,Kerala Blasters,21,2001,5,108,22,6,8.8,0,,0,5,22,6,1.2,1,2,-1,-0.83,-0.89,Matches,230,172,7,57.2,62.48,63.36,77,54.56
287,Syed Suhail Pasha,in IND,FW,Chennaiyin,22,1999,2,25,13,1.4,9.68,0,,0,2,13,3,1.5,0,2,-2,-7.2,-7.25,Matches,151,91,14,58.96,72.16,66,96,60.72
288,Parthib Sundar Gogoi,in IND,"FW,MF",NorthEast Utd,19,2003,18,858,48,47.7,9.68,9,72,3,9,24,2,0.22,10,27,-17,-1.78,-0.06,Matches,143,143,186,61.6,73.92,70.4,73,39.6
289,Pragyan Sundar Gogoi,in IND,MF,NorthEast Utd,23,1999,16,1017,64,56.5,17.6,12,76,3,4,25,2,0.31,9,32,-23,-2.04,-0.66,Matches,459,16,183,54.56,65.12,73.92,97,74.8
290,Sachin Suresh,in IND,GK,Kerala Blasters,21,2001,0,,,,11.44,0,,0,0,,2,,,,,,,Matches,16,167,58,63.36,67.76,61.6,114,48.4
291,Edwin Sydney Vanspaul,in IND,"MF,DF",Chennaiyin,29,1992,19,997,52,55.4,11.44,10,76,4,9,27,1,1.42,26,20,6,0.54,1.33,Matches,311,109,41,69.52,66.88,74.8,105,66.88
292,Nim Tamang,in IND,DF,Hyderabad FC,26,1995,11,815,74,45.3,8.8,9,90,9,2,3,9,2.09,20,10,10,1.1,0.19,Matches,179,134,176,64.24,63.36,80.08,83,39.6
293,Deepak Tangri,in IND,"MF,DF",Mohun Bagan,23,1999,11,745,68,41.4,15.84,10,73,4,1,13,0,1.82,10,6,4,0.48,0.23,Matches,478,94,117,53.68,73.92,81.84,47,59.84
294,Sahil Tavora,in IND,MF,Hyderabad FC,26,1995,19,616,32,34.2,8.8,3,84,2,16,23,0,1.95,15,9,6,0.88,-0.19,Matches,330,146,25,68.64,75.68,69.52,70,43.12
295,Sebastian Thangmuansang,in IND,DF,Odisha,24,1998,0,,,,12.32,0,,0,0,,6,,,,,,,Matches,155,140,41,59.84,62.48,77.44,118,74.8
296,Anirudh Thapa,in IND,MF,Chennaiyin,24,1998,16,1192,75,66.2,12.32,14,82,7,2,23,0,1.31,20,22,-2,-0.15,-0.3,Matches,311,171,75,66,61.6,82.72,97,47.52
297,Komal Thatal,in IND,MF,Jamshedpur,21,2000,0,,,,12.32,0,,0,0,,5,,,,,,,Matches,503,35,164,69.52,64.24,80.96,54,73.04
298,Ahmed Jahouh,in IND,MF,Goa,27,1995,18,914,51,50.8,17.6,12,62,0,6,28,2,1.44,15,12,3,0.3,0.5,Matches,1553,599,547,91.2,64.24,87.23,144,94
299,Rehenesh TP,in IND,GK,Jamshedpur,29,1993,11,990,90,55,16.72,11,90,11,0,,6,0.73,9,17,-8,-0.73,-0.39,Matches,291,78,63,62.48,68.64,80.96,128,62.48
300,Akshunna Tyagi,in IND,FW,Odisha,20,2001,1,1,1,0.1,15.84,0,,0,1,1,9,3,0,0,0,0,0.1,Matches,311,65,216,53.68,64.24,73.92,107,51.92
301,Athul Unnikrishnan,in IND,DF,East Bengal,22,2000,1,9,9,0.5,12.32,0,,0,1,9,4,0,0,0,0,0,0.8,Matches,239,36,167,52.8,67.76,67.76,72,62.48
302,Muhammed Uvais,in IND,"DF,MF",Jamshedpur,24,1998,6,288,48,16,16.72,3,67,1,3,29,9,0.67,3,7,-4,-1.25,-0.83,Matches,251,189,18,55.44,66.88,68.64,78,69.52
303,Suhair V. P.,in IND,"MF,FW",East Bengal,30,1992,18,1343,75,74.6,17.6,18,75,1,0,,0,1,15,20,-5,-0.34,1.83,Matches,56,108,157,44,75.68,80.96,97,63.36
304,Muhammed Vailiyattil,in IND,MF,Goa,20,2002,0,,,,8.8,0,,0,0,,1,,,,,,,Matches,174,137,26,61.6,66.88,79.2,72,72.16
305,Marc Valiente,es ESP,DF,Goa,35,1987,8,483,60,26.8,13.2,7,66,0,1,21,5,1.5,5,11,-6,-1.12,-1.6,Matches,352,73,68,51.04,71.28,78.32,121,69.52
306,Isak Vanlalruatfela,in IND,"MF,FW",Odisha,21,2001,10,365,37,20.3,12.32,5,55,0,5,18,1,1.4,8,6,2,0.49,0.74,Matches,116,44,63,44,73.04,67.76,59,54.56
307,Isaac Vanmalsawma,in IND,"MF,FW",Odisha,25,1996,19,857,45,47.6,8.8,7,67,2,12,33,1,1.45,10,16,-6,-0.63,-1.01,Matches,319,73,116,66.88,64.24,67.76,53,42.24
308,Bijoy Varghese,in IND,DF,Kerala Blasters,22,2000,1,5,5,0.3,11.44,0,,0,1,5,2,0,0,0,0,0,0,Matches,226,148,91,56.32,67.76,83.6,92,68.64
309,Ãlvaro VÃ¡zquez,es ESP,FW,Goa,31,1991,17,795,47,44.2,13.2,7,74,2,10,28,2,1.24,12,21,-9,-1.02,-1.91,Matches,301,202,111,44.88,67.76,76.56,73,48.4
310,JoÃ£o Victor,br BRA,MF,Hyderabad FC,33,1988,12,944,79,52.4,9.68,10,89,9,2,30,0,1.93,16,6,10,0.95,-0.1,Matches,144,50,90,59.84,61.6,66,49,61.6
311,Pritam Kotal,in IND,MF,Jamshedpur,20,2002,9,810,90,45,14.9,9,90,9,0,,11,1.22,12,15,-3,-0.33,0.39,Matches,1294,521,498,45.76,87.8,93.2,66,81.2
312,Bikash Yumnam,in IND,DF,Chennaiyin,18,2003,0,,,,16.72,0,,0,0,,4,,,,,,,Matches,157,137,46,44.88,71.28,66,90,65.12
313,Joe Zoherliana,in IND,DF,NorthEast Utd,23,1999,12,853,71,47.4,8.8,9,87,7,3,24,3,0.33,13,23,-10,-1.06,1.32,Matches,133,16,31,46.64,70.4,83.6,84,41.36
314,Mark Zothanpuia,in IND,MF,Hyderabad FC,20,2002,2,21,11,1.2,12.32,0,,0,2,11,4,1.5,1,0,1,4.29,3.32,Matches,247,88,222,52.8,64.24,62.48,123,74.8
314,Mark Zothanpuia,in IND,MF,Hyderabad FC,20,2002,2,21,11,1.2,9.68,0,,0,2,11,4,1.5,1,0,1,4.29,3.32,Matches,21,127,145,44.88,73.92,66.88,57,39.6
